#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-28T14:34:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
# https://vizier.u-strasbg.fr/viz-bin/VizieR-4
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ615326603ea099	
#INFO	-out.max=99999	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=99999
#-order=I
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22/index&HTTPPRM:&&-ref=VIZ615326603ea099&-out.max=99999&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=IV/22/index&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=FK5&-out=RAJ2000&-out=pmRA&-out=DEJ2000&-out=pmDE&-out=Vmag&-out=Sp&-out=DM&-out=SAO&-out=HD&-out=name&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=IV/22/index
#-source=IV/22/index
#-out=FK5
#-out=RAJ2000
#-out=pmRA
#-out=DEJ2000
#-out=pmDE
#-out=Vmag
#-out=Sp
#-out=DM
#-out=SAO
#-out=HD
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	FK5	(I4)	The FK5 number (Cat. I/149, I/175) (2)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right Ascension hours (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	pmRA	(F7.3)	Proper motion in right ascension	[ucd=pos.pm;pos.eq.ra]
#Column	DEJ2000	(A12)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmDE	(F7.2)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	Vmag	(F5.2)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	Sp	(A2)	Spectral type	[ucd=src.spType]
#Column	DM	(a10)	Durchmusterung Identification (1)	[ucd=meta.id]
#Column	SAO	(I6)	? SAO number (Cat. I/131) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HD	(I6)	? HD number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
FK5|RAJ2000|pmRA|DEJ2000|pmDE|Vmag|Sp|DM|SAO|HD|name
 256|06 45 17.362| -0.791|+12 53 44.02| -19.14| 3.36|F5|BD+13 1396| 96074| 48737|
 248|06 46 14.073| -3.759|+79 33 53.27| -60.42| 5.45|F8|BD+79  212|  5946| 46588|
1177|06 46 32.415| -0.039|+08 35 13.64|  -0.66| 5.93|B3|BD+08 1486|114388| 48977|
 255|06 46 44.336| -0.021|+43 34 38.77|  16.52| 5.25|G0|BD+43 1595| 41330| 48682|
1661|06 46 58.718|  0.727|-87 01 29.89|   0.44| 6.47|F2|CP-86  105|258460| 58805|
1178|06 47 21.393| -0.062|-37 55 47.21|  -1.51| 5.26|B9|CD-37 3091|197215| 49591|
1176|06 47 39.571| -0.014|+48 47 22.21|   0.59| 5.22|K0|BD+48 1436| 41346| 48781|
 258|06 47 51.640| -0.120|+02 24 43.65|  -1.22| 4.47|K0|BD+02 1397|114428| 49293|
 262|06 48 11.437| -0.977|-61 56 28.95|  26.87| 3.27|A5|CP-61  720|249647| 50241|
1179|06 49 16.404| -0.063|-02 16 19.33|  -0.44| 5.75|A0|SD-02 1776|133718| 49643|
1180|06 49 50.456| -0.053|-32 30 30.60|   0.41| 3.96|B2|CD-32 3404|197258| 50013|
 263|06 49 56.173|  0.382|-50 36 52.73|  -6.98| 2.93|K0|CD-50 2415|234735| 50310|
 267|06 51 26.959|  0.024|-70 57 48.44|   2.31| 5.40|B8|CP-70  572|256344| 51557|
 261|06 52 47.337| -0.017|+33 57 40.44|  -4.81| 3.60|A2|BD+34 1481| 59570| 50019|
 259|06 53 42.241|  0.061|+68 53 17.93|   0.77| 5.12|B5|BD+69  394| 13986| 49340|
 266|06 54 11.396| -0.934|-12 02 19.13|  -1.34| 4.07|K2|BD-11 1681|152071| 50778|
 268|06 58 37.548|  0.031|-28 58 19.50|   0.28| 1.50|B1|CD-28 3666|172676| 52089|ADHARA
 260|07 00 04.006|  2.104|+76 58 38.73|  -1.33| 4.55|K5|BD+77  266|  6022| 49878|
1181|07 00 23.747| -0.059|-08 24 24.70|   0.06| 5.96|A0|SD-08 1662|134036| 52312|
1183|07 01 43.148| -0.038|-27 56 05.45|   0.49| 3.47|K5|CD-27 3544|172797| 52877|
1182|07 02 24.773| -0.064|+24 12 55.47|  -0.12| 5.18|K0|BD+24 1502| 78999| 52497|
 270|07 03 01.462| -0.031|-23 49 59.96|   0.32| 3.02|B5|CD-23 4795|172839| 53138|
 271|07 03 45.485| -0.011|-15 37 59.74|  -0.83| 4.11|B5|BD-15 1625|152303| 53244|
1184|07 04 02.811| -0.074|-42 20 14.31|   7.16| 5.20|A2|CD-42 2929|218424| 53704|
 269|07 04 06.522| -0.065|+20 34 13.00|  -0.05| 3.79|G0|BD+20 1687| 79031| 52973|
 272|07 04 18.311|  0.055|-56 44 59.31|  -0.12| 5.17|A0|CP-56 1232|234902| 54118|
1185|07 07 49.485|  0.045|+07 28 16.20|  -3.57| 5.75|K0|BD+07 1607|114947| 54079|
 273|07 08 23.480| -0.024|-26 23 35.55|   0.44| 1.86|F8|CD-26 3916|173047| 54605|
1189|07 08 44.877|  0.461|-70 29 56.34|  10.64| 3.78|K0|CP-70  600|256374| 55865|
1186|07 10 13.679|  0.001|-04 14 13.72|  21.55| 4.92|K0|SD-04 1840|134282| 54810|
 274|07 11 39.318|  0.377|+39 19 13.95|   0.35| 4.90|K2|BD+39 1882| 59866| 54716|
1187|07 11 51.855| -0.006|-00 29 33.99|   0.54| 4.15|A0|BD-00 1636|134330| 55185|
 275|07 12 33.638| -1.280|-46 45 33.83|  10.28| 4.49|F0|CD-46 2977|218537| 55892|
1188|07 13 22.272|  0.091|+16 09 32.22|  -4.20| 5.00|M3|BD+16 1417| 96638| 55383|BQ GEM
1190|07 15 50.134|  0.293|+47 14 24.02| -18.35| 5.58|G0|BD+47 1419| 41644| 55575|
 281|07 16 49.803| -0.117|-67 57 26.03|   0.49| 3.98|F5|CP-67  730|249809| 57623|
 278|07 17 08.554| -0.078|-37 05 51.08|   0.42| 2.70|K5|CD-36 3489|197795| 56855|
 276|07 18 02.205| -0.131|+40 53 00.21|   1.26| 5.87|A3|BD+41 1630| 41679| 56221|
 277|07 18 05.572| -0.331|+16 32 25.31|  -3.66| 3.58|A2|BD+16 1443| 96746| 56537|
 279|07 20 07.367| -0.188|+21 58 56.29|  -1.23| 3.53|F0|BD+22 1645| 79294| 56986|WASAT
 280|07 22 52.051| -0.036|+55 16 53.15|  -2.87| 5.81|B8|BD+55 1192| 26312| 57103|
 283|07 24 05.699| -0.031|-29 18 11.23|   0.53| 2.45|B5|CD-29 4328|173651| 58350|ALUDRA
1191|07 24 08.461| -0.054|+40 40 20.49|  -2.25| 5.19|K0|BD+40 1852| 41738| 57669|
1192|07 25 08.310| -1.403|-13 45 07.40|  -0.42| 5.78|F0|BD-13 2001|152840| 58461|
 282|07 25 43.594| -0.926|+27 47 52.98|  -8.61| 3.79|K0|BD+28 1385| 79374| 58207|
 285|07 27 09.039| -0.350|+08 17 21.50|  -3.83| 2.90|B8|BD+08 1774|115456| 58715|GOMEISA
 286|07 29 06.700|  1.212|+31 47 03.87|  17.55| 4.18|F0|BD+32 1562| 60118| 58946|
1194|07 29 13.847| -0.500|-43 18 05.30|  18.73| 3.25|K5|CD-43 3260|218755| 59717|
1193|07 29 47.782|  0.002|+12 00 23.64|  -1.88| 4.54|K0|BD+12 1567| 96952| 59294|
 284|07 30 52.670| -0.181|+68 27 56.35|  -3.85| 5.64|K0|BD+68  480| 14211| 58425|
 288|07 34 03.176| -0.289|-22 17 46.08|   4.55| 4.45|F8|SD-21 2007|174009| 60532|
 287|07 34 35.997| -1.347|+31 53 18.53|  -9.87| 1.95|A0|BD+32 1581| 60198| 60178|CASTOR
1198|07 35 39.719|  0.262|-52 32 02.10|  -1.58| 4.94|K5|CP-52 1231|235336| 61248|
1196|07 35 55.346| -0.257|+26 53 44.59| -10.56| 4.06|K5|BD+27 1424| 79533| 60522|
1195|07 36 31.629| -0.274|+46 10 49.11|  -3.18| 5.65|K5|BD+46 1286| 41879| 60437|
1197|07 36 41.026| -0.052|-19 42 08.39|   0.53| 5.74|B3|BD-19 1967|153149| 61068|
 289|07 37 16.687| -0.454|-04 06 39.64|   1.71| 5.13|F5|SD-03 1979|134899| 61064|
 290|07 37 22.094| -0.179|-34 58 06.63|   1.44| 4.53|B8|CD-34 3755|198195| 61330|
 291|07 39 18.113| -4.755|+05 13 30.06|-102.29| 0.38|F5|BD+05 1739|115756| 61421|PROCYON
 909|07 40 30.547| -5.795|+87 01 12.47|  -2.85| 5.07|M0|BD+87   51|  1168| 51802|
 293|07 41 14.835| -0.493|-09 33 04.19|  -1.92| 3.93|K0|SD-09 2172|134986| 61935|
 297|07 41 49.235|  0.662|-72 36 21.84|   1.83| 3.95|K0|CP-72  627|256438| 63295|
 292|07 43 00.409| -0.479|+58 42 37.41|  -5.06| 4.99|A2|BD+59 1103| 26474| 61497|
 294|07 44 26.844| -0.244|+24 23 52.72|  -5.23| 3.57|G5|BD+24 1759| 79653| 62345|
 295|07 45 18.946| -4.740|+28 01 34.26|  -4.59| 1.14|K0|BD+28 1463| 79666| 62509|POLLUX
1202|07 45 56.861| -0.085|-14 33 49.76|   0.62| 5.04|F0|BD-14 2199|153372| 62952|
1200|07 46 07.445| -0.534|+18 30 36.04|  -5.85| 4.88|K2|BD+18 1733| 97221| 62721|
1201|07 46 16.206| -0.194|+10 46 05.69|  -2.42| 5.24|A0|BD+11 1670| 97224| 62832|
1199|07 46 39.273|  0.231|+37 31 02.60|   1.43| 5.18|M0|BD+37 1769| 60328| 62647|
 296|07 47 30.324| -0.147|+33 24 56.44|  -2.86| 5.14|K2|BD+33 1585| 60340| 62898|
1203|07 47 31.515| -0.021|-46 36 30.79|   0.40| 5.20|B2|CD-46 3435|219000| 63578|
1206|07 49 12.881| -0.743|-60 17 01.29|  15.11| 5.78|F2|CP-59  908|249975| 64185|
1204|07 49 17.655| -0.022|-24 51 35.31|  -0.18| 3.34|G0|CD-24 6030|174601| 63700|
1205|07 51 41.980| -0.104|+01 46 00.66|  -0.33| 5.14|B8|BD+02 1808|116043| 63975|
 301|07 52 13.039| -0.084|-40 34 33.10|   0.33| 3.73|G5|CD-40 3579|219082| 64440|
1207|07 53 29.805| -0.264|+26 45 56.76|  -3.10| 4.97|A2|BD+27 1499| 79774| 64145|
 299|07 54 42.691| -0.469|+47 33 52.59|   0.24| 5.45|K0|BD+47 1499| 42058| 64144|
 303|07 56 46.707| -0.316|-52 58 56.43|   2.10| 3.47|B3|CP-52 1343|235635| 65575|
1208|07 56 59.448| -0.191|+15 47 24.89|  -4.22| 5.78|K0|BD+16 1590| 97399| 64960|
1210|07 57 40.112| -0.043|-30 20 04.50|   0.66| 4.79|A2|CD-29 5236|198636| 65456|
1209|07 58 16.555|  0.355|+43 58 38.60|   0.64| 6.34|K0|BD+44 1693| 42097| 64958|
 304|07 59 44.148| -0.361|-03 40 46.68|  -0.35| 4.93|K0|SD-03 2157|135345| 65695|
1212|07 59 52.044| -0.015|-18 23 57.34|  -3.87| 4.61|A2|BD-18 2118|153687| 65810|
 300|08 00 11.718| -0.227|+73 55 04.53|  -3.73| 5.41|K0|BD+74  338|  6378| 64307|
1211|08 00 55.863|  0.101|+25 23 34.08|   0.59| 5.83|K0|BD+25 1812| 79861| 65714|
 302|08 01 42.413| -0.503|+60 19 27.64|  -2.05| 6.01|A2|BD+60 1105| 14402| 65339|
1213|08 02 25.965|  0.037|-06 20 13.89|  -1.37| 6.33|G0|SD-05 2339|135406| 66242|
 305|08 03 31.078| -0.194|+27 47 39.43|  -4.19| 4.94|K0|BD+28 1532| 79896| 66216|
 306|08 03 35.052| -0.238|-40 00 11.64|   1.21| 2.25|O3|CD-39 3939|198752| 66811|
 308|08 07 32.645| -0.606|-24 18 15.45|   4.92| 2.81|F5|CD-23 6828|175217| 67523|
 307|08 08 27.436| -0.629|+51 30 23.98|  -0.38| 4.84|A2|BD+51 1391| 26687| 67006|
 309|08 09 31.965| -0.037|-47 20 11.91|   0.62| 1.78|O0|CD-46 3847|219504| 68273|
1214|08 10 11.476|  1.702|+35 27 17.74| -24.50| 6.61|F8|BD+35 1767| 60611| 67587|
1215|08 12 48.789|  0.000|+68 28 26.67|   0.78| 5.32|G5|BD+68  524| 14456| 67447|
 311|08 13 19.963| -0.092|-15 47 17.75|  -0.43| 4.99|G5|BD-15 2324|153993| 68752|
 312|08 16 30.928| -0.298|+09 11 07.90|  -4.89| 3.52|K2|BD+09 1917|116569| 69267|
1639|08 16 53.775| -0.818|+84 03 27.60|  -1.81| 6.49|A0|BD+84  169|  1300| 65299|
1216|08 17 18.460| -0.058|+04 13 08.99|   0.64| 6.53|G0|BD+04 1945|116582| 69479|
 313|08 18 33.318| -0.882|-36 39 33.68|   9.71| 4.45|A5|CD-36 4449|199070| 70060|
1218|08 19 15.084| -0.275|-10 09 56.83|   3.83| 6.32|A5|SD-09 2471|154105| 69997|
 310|08 19 32.232|  0.822|+75 45 24.85|   1.58| 5.54|G5|BD+76  310|  6487| 68375|
1217|08 20 03.856| -0.137|+27 13 03.64| -37.77| 5.14|F5|BD+27 1589| 80104| 69897|
 318|08 20 38.515| -4.111|-77 29 04.11|   4.16| 4.35|K0|CP-77  383|256503| 71701|
1219|08 21 23.031| -0.067|-33 03 15.79|   0.40| 4.83|K0|CD-32 5185|199118| 70555|
 315|08 22 30.833| -0.346|-59 30 34.51|   1.44| 1.86|K0|CP-59 1032|235932| 71129|AVIOR
 314|08 22 50.122| -0.195|+43 11 17.31|  -9.59| 4.25|K5|BD+43 1815| 42319| 70272|
1220|08 23 21.828| -0.376|+18 19 55.97|  -2.78| 5.95|F0|BD+18 1930| 97781| 70569|
1221|08 25 03.740| -0.204|-24 02 46.37|   2.62| 5.28|K5|CD-23 7277|175783| 71176|
 316|08 25 39.628| -0.444|-03 54 23.15|  -2.29| 3.90|A0|SD-03 2339|135896| 71155|
 319|08 25 44.194| -0.591|-66 08 13.02| -15.49| 3.77|K0|CP-65  933|250228| 71878|
1222|08 28 37.338| -0.095|+14 12 38.91|  -1.10| 5.96|A2|BD+14 1899| 97843| 71555|
 317|08 30 15.870| -1.818|+60 43 05.44| -10.73| 3.36|G0|BD+61 1054| 14573| 71369|MUSCIDA
 321|08 32 42.489| -0.336|+20 26 28.15|  -4.34| 5.33|K0|BD+20 2109| 80243| 72292|
 320|08 32 54.975| -0.873|+38 00 59.01| -16.89| 5.90|K0|BD+38 1920| 60890| 72184|
 324|08 37 38.650| -0.055|-42 59 20.86|   0.77| 4.14|A5|CD-42 4451|220204| 73634|
1223|08 37 39.371| -0.444|+05 42 13.45|  -0.73| 4.16|A0|BD+06 2001|116965| 73262|
1224|08 38 45.443| -0.122|+03 20 28.96|  -1.77| 4.44|K0|BD+03 2026|116988| 73471|
 323|08 39 17.618| -0.318|+52 42 41.91|  -2.83| 5.91|K0|BD+53 1272| 26946| 73171|
 322|08 39 42.595| -0.353|+73 37 46.85|  -9.93| 6.15|K0|BD+74  370|  6605| 72582|
 325|08 40 01.464| -0.554|-12 28 31.49|  -0.18| 4.98|K2|BD-11 2420|154515| 73840|
1227|08 40 17.594| -0.242|-52 55 19.10|   1.95| 3.62|B3|CP-52 1579|236164| 74195|
1226|08 40 37.594|  0.002|-46 38 55.57|   0.31| 3.84|F5|CD-46 4438|220265| 74180|
1225|08 41 01.062|  0.238|+45 50 02.42|   9.19| 5.37|K0|BD+46 1422| 42490| 73593|
 331|08 41 19.530| -1.075|-78 57 48.23|   2.56| 5.47|B9|CP-78  372|256543| 75416|
1228|08 43 17.143| -0.760|+21 28 06.52|  -3.94| 4.66|A0|BD+21 1895| 80378| 74198|ASELLUS BOREALIS
 327|08 43 35.545| -0.086|-33 11 11.02|   1.08| 3.68|B2|CD-32 5651|199546| 74575|
 326|08 44 41.097| -0.126|+18 09 15.45| -22.81| 3.94|K0|BD+18 2027| 98087| 74442|ASELLUS AUSTRALIS
1229|08 44 55.160| -0.143|-21 10 04.34|   0.08| 6.11|A2|SD-20 2667|176404| 74706|
 328|08 46 41.813| -0.189|+28 45 35.68|  -4.23| 4.02|G5|BD+29 1824| 80416| 74739|
1230|08 49 21.723| -0.135|-03 26 34.95|  -2.32| 5.31|B9|SD-02 2699|136308| 75333|
 332|08 50 31.935| -0.981|-27 42 35.59|   8.72| 4.01|K2|CD-27 5986|176559| 75691|
 336|08 55 02.832| -0.284|-60 38 40.74|   3.84| 3.84|B8|CP-60 1243|250374| 76728|
1231|08 55 12.431|  0.139|-18 14 28.51|   0.44| 5.75|K0|BD-17 2691|154745| 76376|
 334|08 55 23.629| -0.665|+05 56 43.88|   1.44| 3.11|K0|BD+06 2060|117264| 76294|
 918|08 56 41.121|-10.317|-85 39 47.25|   3.68| 5.42|F0|CP-85  183|258515| 79837|
1233|08 56 58.409| -0.113|-59 13 45.69|   0.67| 4.92|B3|CP-58 1301|236436| 77002|
 337|08 58 29.224|  0.230|+11 51 27.79|  -3.11| 4.25|A3|BD+12 1948| 98267| 76756|ACUBENS
 335|08 59 12.442| -4.428|+48 02 30.09| -22.64| 3.14|A5|BD+48 1707| 42630| 76644|TALITHA
1232|08 59 32.649| -0.355|+32 25 06.74|  -3.50| 5.20|G5|BD+32 1821| 61177| 76813|
1234|09 00 05.417| -0.348|-41 15 13.51|   4.52| 4.45|F8|CD-40 4810|220730| 77258|
 339|09 00 38.390| -3.932|+41 46 57.98| -24.59| 3.97|F5|BD+42 1956| 42642| 76943|
1235|09 01 57.984| -0.319|-00 28 57.64|   6.95| 5.67|K0|BD+00 2449|136511| 77353|
 343|09 02 26.804| -0.026|-66 23 45.99|  -9.56| 4.00|A5|CP-65 1065|250422| 78045|
 338|09 02 32.702| -0.375|+67 37 46.66|   1.90| 4.76|M0|BD+68  551| 14742| 76827|
 341|09 03 37.527| -0.323|+47 09 23.56|  -5.41| 3.60|A0|BD+47 1633| 42661| 77327|
1236|09 03 43.419| -0.134|-05 10 16.96|   0.43| 6.80|A0|SD-04 2530|136542| 77640|
 340|09 04 00.395| -0.033|+54 17 01.99|   0.44| 5.75|A2|BD+54 1272| 27105| 77309|
 342|09 04 09.291| -0.435|-47 05 52.00|  -1.29| 3.75|K0|CD-46 4883|220803| 78004|
1237|09 06 31.764| -0.238|+38 27 07.92|  -1.41| 4.56|G5|BD+39 2200| 61254| 77912|
1238|09 07 44.819| -0.136|+10 40 05.44|  -0.96| 5.24|B8|BD+11 1984| 98378| 78316|
 345|09 07 59.776| -0.172|-43 25 57.38|   1.27| 2.21|K5|CD-42 4990|220878| 78647|
1240|09 09 11.511|  0.130|-12 21 27.81|   0.26| 5.77|K0|BD-11 2565|154953| 78668|
1239|09 09 21.533|  0.010|+22 02 43.56|   0.48| 5.14|G5|BD+22 2061| 80666| 78515|
1241|09 09 56.429|  0.012|-30 21 55.39|  -4.76| 5.59|A3|CD-29 2194|200047| 78922|
1242|09 11 58.734| -0.403|-19 44 51.61|   4.59| 5.73|K0|BD-19 2644|154989| 79181|
 348|09 13 11.957| -3.108|-69 43 01.95|  10.78| 1.68|A0|CP-69 1023|250495| 80007|MIAPLACIDUS
 346|09 13 48.207| -0.253|+43 13 04.17|  -3.18| 5.32|B8|BD+43 1893| 42759| 79158|
 347|09 14 21.870|  0.862|+02 18 51.23| -31.00| 3.88|A0|BD+02 2167|117527| 79469|
1640|09 15 21.239|  1.807|+84 10 51.66|   1.46| 6.33|F0|BD+84  196|  1461| 76990|
 351|09 17 05.404| -0.260|-59 16 31.04|   0.78| 2.25|F0|CP-58 1465|236808| 80404|ASPIDISKE
 350|09 18 58.832| -0.869|+17 42 19.16| -12.73| 6.64|F5|BD+18 2165| 98488| 80218|
 352|09 21 03.303| -1.789|+34 23 33.19|   1.87| 3.13|K5|BD+35 1979| 61414| 80493|
1243|09 21 29.596| -0.078|-25 57 55.67|  -0.82| 4.72|M0|CD-25 7114|177322| 80874|
 353|09 22 06.828| -0.098|-55 00 38.60|   0.88| 2.50|B3|CP-54 2219|236891| 81188|
1244|09 24 39.255| -0.246|+26 10 56.29|  -4.77| 4.46|K0|BD+26 1939| 80807| 81146|
1245|09 25 24.032| -0.079|-05 07 02.80|  -0.77| 5.59|K5|SD-04 2616|136832| 81420|
 354|09 27 35.247| -0.093|-08 39 31.15|   3.28| 1.98|K2|SD-08 2680|136871| 81797|ALPHARD
 356|09 29 14.725| -0.179|-35 57 05.13|   0.12| 4.51|K2|CD-35 5724|200416| 82150|
 361|09 31 13.321| -0.387|-57 02 03.85|   0.39| 3.13|K5|CP-56 2276|237067| 82668|
 355|09 31 31.716|  1.604|+63 03 42.70|   2.77| 3.67|F0|BD+63  845| 14908| 81937|
 362|09 31 36.273| -0.620|-73 04 51.49|   0.07| 5.47|K2|CP-72  835|256634| 83095|
 403|10 43 04.059|  0.038|+69 04 34.37|  -1.19| 5.00|K0|BD+69  586| 15269| 92523|
1246|09 31 56.738| -0.639|+11 17 59.26|  -8.23| 4.97|G5|BD+11 2053| 98627| 82395|
 358|09 32 51.412|-10.253|+51 40 38.38| -53.14| 3.17|F8|BD+52 1401| 27289| 82328|
1247|09 33 12.464| -0.145|-21 06 56.74|   1.50| 5.01|K0|SD-20 2936|177642| 82734|
 360|09 34 13.378|  0.051|+36 23 51.16|  -2.22| 4.55|G5|BD+37 2004| 61570| 82635|
 357|09 34 28.874| -1.224|+69 49 49.24|   7.74| 4.56|G0|BD+70  565|  6897| 82210|
 910|09 37 05.232| -0.835|+81 19 35.12|  -1.42| 4.29|K2|BD+81  302|  1551| 81817|
1248|09 37 09.904|  0.266|-32 10 43.41|  -2.04| 5.63|K0|CD-31 7460|200561| 83380|
1249|09 38 27.295| -1.087|+04 38 57.32|  -5.13| 4.68|K0|BD+05 2207|117821| 83425|
1250|09 39 51.364|  0.324|-01 08 34.37|  -6.43| 3.91|K0|BD-00 2231|137035| 83618|
 364|09 40 18.361| -0.185|-14 19 56.40|  -1.96| 5.06|B3|BD-13 2917|155388| 83754|
 365|09 41 09.038| -0.961|+09 53 32.29|  -3.67| 3.52|F5|BD+10 2044| 98709| 83808|
 363|09 42 14.827| -1.255|+69 14 15.11|  -7.00| 5.69|K0|BD+69  531| 14966| 83489|
1251|09 43 33.258| -0.142|+29 58 28.12| -10.04| 5.64|A2|BD+30 1901| 61656| 84107|
1252|09 43 43.906|  0.028|+14 01 18.07|  -0.31| 5.35|M0|BD+14 2136| 98733| 84194|
 366|09 44 12.110| -0.356|-27 46 10.30|   3.45| 4.79|F5|CD-27 6881|177908| 84367|
1254|09 45 14.804| -0.195|-62 30 28.49|   0.74| 3.40|G0|CP-61 1333|250683| 84810|
 367|09 45 51.071| -0.337|+23 46 27.21|  -1.10| 2.98|G0|BD+24 2129| 81004| 84441|
1253|09 45 51.938|  0.146|+18 41 00.91|  -1.17| 6.78|K0|BD+19 2254| 98750| 84455|
1255|09 48 35.379|  2.150|+46 01 15.62|  -9.21| 5.09|G0|BD+46 1551| 43046| 84737|
 368|09 50 59.366| -3.797|+59 02 19.45| -15.12| 3.80|F0|BD+59 1268| 27401| 84999|
 370|09 51 14.029|  0.088|-04 14 36.15|  -2.78| 6.01|A2|SD-03 2794|137183| 85364|
1256|09 51 19.752| -0.417|-46 11 38.13|   3.34| 5.62|K0|CD-45 5499|221547| 85563|
 371|09 52 45.819| -1.602|+26 00 24.92|  -5.59| 3.88|K0|BD+26 2019| 81064| 85503|RASALAS
 373|09 54 52.209| -0.331|-19 00 33.88|  -3.73| 4.94|M0|BD-18 2810|155588| 85951|
1257|09 56 08.000| -0.126|-07 38 43.31|   0.36| 6.72|K0|SD-06 3033|137237| 86082|
 375|09 56 51.756| -0.119|-54 34 04.15|   0.28| 3.54|B5|CP-53 3075|237522| 86440|
 374|09 57 41.052| -1.033|+41 03 20.32|  -2.45| 5.14|F5|BD+41 2033| 43115| 86146|
 372|09 58 22.779| -1.724|+72 52 46.21|  -3.52| 5.83|K0|BD+73  478|  7009| 85841|
 377|09 58 52.280| -0.718|-35 53 27.84|  -1.97| 5.23|F0|CD-35 6050|200926| 86629|
 376|09 59 43.075| -0.443|+03 23 05.08|   2.23| 6.70|A5|BD+04 2276|118041| 86611|
 378|10 00 12.810| -0.205|+08 02 39.11|  -2.28| 4.70|M0|BD+08 2301|118044| 86663|
1258|10 01 00.661| -4.148|+31 55 25.25| -42.85| 5.36|G5|BD+32 1964| 61808| 86728|
1260|10 04 20.957| -0.833|-24 17 08.08|   2.28| 5.70|F0|CD-23 8973|178367| 87427|
1259|10 04 36.329| -0.252|+53 53 30.27|  -0.23| 5.74|F5|BD+54 1348| 27503| 87141|
1261|10 05 07.471| -0.255|-13 03 52.86|   1.81| 4.60|B8|BD-12 3073|155713| 87504|
 379|10 07 19.952| -0.011|+16 45 45.54|  -0.04| 3.52|A0|BD+17 2171| 98955| 87737|
 380|10 08 22.315| -1.693|+11 58 01.89|   0.64| 1.35|B8|BD+12 2149| 98967| 87901|REGULUS
 381|10 10 35.282| -1.379|-12 21 14.72|  -8.85| 3.61|K0|BD-11 2820|155785| 88284|
 385|10 13 44.198| -0.755|-70 02 16.56|   0.66| 3.32|B8|CP-69 1178|250885| 89080|
 382|10 14 44.169| -1.307|-42 07 19.34|   4.51| 3.85|A2|CD-41 5713|221895| 88955|
 384|10 16 41.409|  0.131|+23 25 02.26|  -0.71| 3.44|F0|BD+24 2209| 81265| 89025|ADHAFERA
1264|10 17 04.976| -0.339|-61 19 56.39|   0.53| 3.40|K5|CP-60 1817|250905| 89388|q CAR
 383|10 17 05.796| -1.494|+42 54 51.81|  -3.78| 3.45|A2|BD+43 2005| 43268| 89021|TANIA BOREALIS
1263|10 17 37.807| -1.065|-08 04 08.17|   0.40| 5.24|F0|SD-07 3001|137469| 89254|
1262|10 18 02.050| -1.372|+65 06 30.03|  -0.93| 5.82|A3|BD+65  767| 15135| 88983|
1265|10 18 07.610| -0.078|-28 59 31.26|   1.17| 5.34|B9|CD-28 8070|178644| 89353|
1266|10 21 02.007| -0.050|+02 17 22.80|  -0.26| 6.66|B3|BD+03 2352|118248| 89688|RS SEX
1268|10 22 19.604| -0.198|-41 39 00.22|   5.60| 4.83|K5|CD-41 5809|221998| 89998|
 386|10 22 19.742| -0.726|+41 29 58.26|   3.45| 3.05|K5|BD+42 2115| 43310| 89758|TANIA AUSTRALIS
1267|10 23 06.329| -0.104|+33 54 29.21|  -0.52| 5.90|A3|BD+34 2120| 62010| 89904|
 388|10 23 26.479| -0.332|-04 04 26.61|   0.48| 5.97|B9|SD-03 2911|137533| 90044|
1269|10 23 29.298| -1.338|-38 00 35.74|  -5.74| 5.33|A3|CD-37 6509|201346| 90132|
 387|10 24 07.852| -0.132|+65 33 59.01|  -2.17| 4.97|A0|BD+66  664| 15163| 89822|
 391|10 24 23.660| -0.514|-74 01 53.81|  -2.58| 4.00|F5|CP-73  733|256710| 90589|
 389|10 26 05.430| -0.890|-16 50 10.85|  -7.99| 3.81|K5|BD-16 3052|155980| 90432|
 392|10 27 09.120| -0.581|-31 04 04.11|   1.06| 4.25|K5|CD-30 8465|201405| 90610|
